Accuracy: 0.3433333333333333
Accuracy: 0.37373737373737376

Starting epoch 0
tensor(1.0330, grad_fn=<NllLossBackward>)
tensor(1.0837, grad_fn=<NllLossBackward>)
tensor(1.0429, grad_fn=<NllLossBackward>)
tensor(1.0559, grad_fn=<NllLossBackward>)
tensor(1.0553, grad_fn=<NllLossBackward>)
tensor(1.0992, grad_fn=<NllLossBackward>)
tensor(1.0737, grad_fn=<NllLossBackward>)
tensor(0.9153, grad_fn=<NllLossBackward>)
tensor(1.0767, grad_fn=<NllLossBackward>)
tensor(1.0197, grad_fn=<NllLossBackward>)
tensor(1.2533, grad_fn=<NllLossBackward>)
tensor(1.3581, grad_fn=<NllLossBackward>)
tensor(0.8826, grad_fn=<NllLossBackward>)
tensor(1.0425, grad_fn=<NllLossBackward>)
tensor(0.9678, grad_fn=<NllLossBackward>)
tensor(0.8815, grad_fn=<NllLossBackward>)
tensor(0.8787, grad_fn=<NllLossBackward>)
tensor(1.5250, grad_fn=<NllLossBackward>)
tensor(1.1484, grad_fn=<NllLossBackward>)
tensor(1.1429, grad_fn=<NllLossBackward>)
tensor(0.9976, grad_fn=<NllLossBackward>)
tensor(1.0920, grad_fn=<NllLossBackward>)
tensor(1.4063, grad_fn=<NllLossBackward>)
tensor(0.9991, grad_fn=<NllLossBackward>)
tensor(1.1140, grad_fn=<NllLossBackward>)
tensor(1.1215, grad_fn=<NllLossBackward>)
tensor(1.0891, grad_fn=<NllLossBackward>)
tensor(1.0848, grad_fn=<NllLossBackward>)
tensor(1.1267, grad_fn=<NllLossBackward>)
tensor(0.7878, grad_fn=<NllLossBackward>)
tensor(1.0706, grad_fn=<NllLossBackward>)
tensor(1.9832, grad_fn=<NllLossBackward>)
tensor(0.7099, grad_fn=<NllLossBackward>)
tensor(1.0459, grad_fn=<NllLossBackward>)
tensor(1.1263, grad_fn=<NllLossBackward>)
tensor(0.7415, grad_fn=<NllLossBackward>)
tensor(1.1639, grad_fn=<NllLossBackward>)
tensor(1.0693, grad_fn=<NllLossBackward>)
tensor(0.9661, grad_fn=<NllLossBackward>)
tensor(1.0848, grad_fn=<NllLossBackward>)
tensor(0.6502, grad_fn=<NllLossBackward>)
tensor(0.6181, grad_fn=<NllLossBackward>)
tensor(1.3366, grad_fn=<NllLossBackward>)
tensor(0.9074, grad_fn=<NllLossBackward>)
